timestamp,orientation.x,orientation.y,orientation.z,ak0991x_magnetometer.x,ak0991x_magnetometer.y,ak0991x_magnetometer.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,icm4x6xx_accelerometer.x,icm4x6xx_accelerometer.y,icm4x6xx_accelerometer.z,icm4x6xx_gyroscope.x,icm4x6xx_gyroscope.y,icm4x6xx_gyroscope.z,GPS.lat,GPS.long,GPS.alt
1644573793112,200.875,1.765625,0.328125,-18.018751,-28.2,-2.625,0.007537842,0.0028521046,0.040081024,-0.35075054,-0.08559271,9.81503,0.015712187,-0.009453943,-0.12063764,0.0,0.0,0.0
1644573793215,200.875,1.765625,0.328125,-16.743752,-28.931252,-5.1375003,0.021865338,-0.00880108,-0.053097725,-0.31244332,-0.09995792,9.8198185,0.011451255,0.0011983871,-0.16218174,0.0,0.0,0.0
1644573793321,200.875,1.765625,0.328125,-17.56875,-29.025002,-6.24375,0.046019644,-0.06489131,0.010160446,-0.29328972,-0.13826515,9.81503,0.025299285,0.0033288533,-0.286814,0.0,0.0,0.0
1644573793421,201.375,1.703125,0.34375,-16.706251,-29.831251,-3.3187501,0.024642915,0.054591373,0.0104522705,-0.2885013,-0.032920275,9.862914,0.023168819,0.0033288533,-0.46577314,0.0,0.0,0.0
1644573793522,202.3125,1.625,0.375,-14.531251,-29.7,-5.9625,0.0011498034,-0.06434016,0.021112442,-0.2789245,-0.13826515,9.834184,0.03062545,1.3315413E-4,-0.71077675,0.0,0.0,0.0
1644573793626,203.375,1.53125,0.40625,-12.975,-30.150002,-6.24375,0.011404812,-0.11698542,-0.024567604,-0.2837129,-0.19153613,9.81503,0.042343013,1.3315413E-4,-0.9461932,0.0,0.0,0.0
1644573793729,202.375,-0.1875,-1.671875,-9.975,-32.71875,-6.01875,0.015859812,-0.17648008,0.034448624,-0.2741361,-0.24899697,9.838972,0.054060575,0.006524552,-1.1890664,0.0,0.0,0.0
1644573793834,206.71875,0.515625,-1.515625,-6.3375,-32.23125,-7.51875,-0.039589792,-0.2715615,0.01594448,-0.29807812,-0.40222588,9.829395,0.06258244,-0.0019973118,-1.4672253,0.0,0.0,0.0
1644573793934,210.84375,0.75,-1.515625,-1.4250001,-32.568752,-6.58125,-0.13482317,-0.21353628,-0.0014066696,-0.3842694,-0.33518824,9.848549,0.06258244,0.0075897854,-1.6951852,0.0,0.0,0.0
1644573794040,218.15625,1.21875,-1.4375,4.5750003,-33.018753,-5.925,-0.01651442,0.17597647,0.22784805,-0.35075054,-0.16759412,9.838972,0.0838871,-0.006258244,-1.8794705,0.0,0.0,0.0
1644573794146,224.625,1.640625,-1.609375,10.03125,-30.69375,-6.675,-0.18936002,-0.05850199,-0.055735588,-0.45130703,-0.30166942,9.762358,0.049799643,-9.320789E-4,-1.9753414,0.0,0.0,0.0
1644573794242,235.28125,1.9375,-1.90625,15.281251,-29.156252,-6.95625,-0.08639282,-0.11531912,0.028611183,-0.33159694,-0.29209262,9.829395,0.08921327,0.009720251,-2.0839953,0.0,0.0,0.0
1644573794352,243.85938,2.0,-1.765625,19.3125,-26.00625,-5.5875,-0.2634584,-0.03237299,-0.009871483,-0.50876784,-0.15263036,9.853337,0.080691405,0.01291595,-2.1415179,0.0,0.0,0.0
1644573794456,257.0625,0.796875,-1.90625,23.94375,-21.806252,-3.73125,-0.10367283,-0.022761576,0.056090355,-0.39384618,-0.13347675,9.8677025,0.08495233,0.0022636203,-2.1532354,0.0,0.0,0.0
1644573794557,270.67188,1.125,-1.8125,25.968752,-16.143751,-3.2250001,-0.04539153,-0.24470183,0.01081562,-0.35075054,-0.4213795,9.791088,0.066843376,0.004394086,-2.1021042,0.0,0.0,0.0
1644573794662,280.8125,0.96875,-2.234375,27.54375,-10.425,-3.3937502,-8.8614225E-4,-0.08065775,-0.053871155,-0.3172317,-0.22984336,9.834184,0.086017564,0.010785485,-2.073343,0.0,0.0,0.0
1644573794768,295.125,0.890625,-2.609375,27.0375,-4.8562503,-2.60625,-0.017828077,-0.14750198,-0.018540382,-0.29807812,-0.30166942,9.805453,0.06790861,0.01291595,-2.0062332,0.0,0.0,0.0
1644573794869,305.29688,1.234375,-2.28125,25.66875,1.0875001,-0.675,-0.053800076,-0.07493614,-0.023769379,-0.32680854,-0.21547815,9.805453,0.080691405,0.010785485,-1.973211,0.0,0.0,0.0
